Country,Gross tertiary education enrollment (%),Population,Title,Unemployment rate,Urban_population,Youtuber,category,channel_type,channel_type_rank,country_rank,created_date,created_month,created_year,highest_monthly_earnings,highest_yearly_earnings,lowest_monthly_earnings,lowest_yearly_earnings,rank,subscribers,subscribers_for_last_30_days,uploads,video views,video_views_for_the_last_30_days,video_views_rank,engagement_rate,views_per_upload
Thailand,49.3,69625582,˝˝˝˝˝˝˝˝˝˝˝˝ one31,0.75,35294600,˝˝˝˝˝˝˝˝˝˝˝˝ one31,Entertainment,Entertainment,29,2,10,Jan,2013,563000,6800000,35200,422300,94,37500000,300000,117152,27262462114,140754000,56,0.8,232710.1724
India,28.1,1366417754,Jkk Entertainment,5.36,471031528,Jkk Entertainment,Comedy,Comedy,3,24,20,Mar,2017,199400,2400000,12500,149600,95,37200000,100000,220,16402066717,49861000,178,0.268817204,74554848.71
India,28.1,1366417754,ABP NEWS,5.36,471031528,ABP NEWS,People & Blogs,News,2,25,1,Jun,2012,1100000,12800000,66800,801200,96,37000000,400000,301308,13102611515,267060000,280,1.081081081,43485.77374
Brazil,51.3,212559417,Maria Clara & JP,12.08,183241641,Maria Clara & JP,People & Blogs,Entertainment,30,7,6,Sep,2015,1000000,12100000,62900,754300,97,37000000,300000,744,24188861917,251449000,75,0.810810811,32511911.18
United States,88.2,328239523,Bruno Mars,14.7,270663028,Bruno Mars,Music,Music,34,30,19,Sep,2006,701000,8400000,43800,525700,98,36700000,200000,99,19378155425,175243000,134,0.544959128,195738943.7
India,28.1,1366417754,Ultra Bollywood,5.36,471031528,Ultra Bollywood,Trailers,Entertainment,31,26,21,Oct,2009,0,0,0,0,100,36600000,200000,9168,15653786446,131462000,205,0.546448087,1707437.44
United States,88.2,328239523,YouTube,14.7,270663028,YouTube,News & Politics,Entertainment,5,32,1,Jan,1970,84400,1000000,5300,63300,102,36300000,300000,744,3010784935,21103000,2860,0.826446281,4046753.945
Argentina,90,44938712,La Granja de ZenÔøΩ,9.79,41339571,La Granja de ZenÔøΩ,Music,Music,37,2,6,Jun,2013,1200000,14500000,75500,906200,106,35700000,400000,654,27118354077,302071000,58,1.120448179,41465373.21
India,28.1,1366417754,Saregama Music,5.36,471031528,Saregama Music,Entertainment,Music,38,27,4,Jan,2013,2100000,25600000,133400,1600000,107,35500000,900000,7566,15657673422,533793000,199,2.535211268,2069478.38
India,28.1,1366417754,IndiaTV,5.36,471031528,IndiaTV,News & Politics,News,3,27,26,Aug,2006,1200000,14000000,72700,872500,108,35500000,600000,273255,16105023749,290847000,185,1.690140845,58937.70928
India,28.1,1366417754,T-Series Bollywood Classics,5.36,471031528,T-Series Bollywood Classics,Music,Music,39,28,2,Apr,2012,1300000,15900000,82900,994400,109,35400000,500000,2010,22637783517,331474000,94,1.412429379,11262578.86
United States,88.2,328239523,Markiplier,14.7,270663028,Markiplier,Gaming,Games,8,34,26,May,2012,509300,6100000,31800,382000,111,35200000,100000,5490,20297931219,127329000,119,0.284090909,3697255.231
United States,88.2,328239523,Ryan's World,14.7,270663028,Ryan's World,Entertainment,Entertainment,32,35,17,Mar,2015,954500,11500000,59700,715800,112,35200000,200000,2453,55299840198,238613000,15,0.568181818,22543758.74
United States,88.2,328239523,Genevieve's Playhouse - Learning Videos for ÔøΩ,14.7,270663028,Genevieve's Playhouse - Learning Videos for Kids,Education,Film,7,36,6,Jan,2016,1300000,16100000,83800,1000000,113,34900000,300000,617,25607397308,335307000,69,0.859598854,41503075.05
India,28.1,1366417754,Geet MP3,5.36,471031528,Geet MP3,Music,Music,41,31,22,Oct,2016,405400,4900000,25300,304100,116,34300000,100000,679,12746535822,101357000,299,0.29154519,18772512.26
Colombia,55.3,50339443,J Balvin,9.71,40827302,J Balvin,Music,Music,42,2,18,Feb,2011,514800,6200000,32200,386100,117,34100000,100000,141,23005313609,128696000,89,0.293255132,163158252.5
Indonesia,36.3,270203917,Jess No Limit,4.69,151509724,Jess No Limit,Entertainment,Entertainment,33,1,7,Sep,2017,2200000,26300000,136800,1600000,118,34000000,5500000,2284,3963007415,547141000,1882,16.17647059,1735117.082
India,28.1,1366417754,Jingle Toons,5.36,471031528,Jingle Toons,Film & Animation,Film,8,32,24,Jan,2013,719600,8600000,45000,539700,119,34000000,600000,240,11351015824,179903000,360,1.764705882,47295899.27
Brazil,51.3,212559417,Galinha Pintadinha,12.08,183241641,Galinha Pintadinha,Film & Animation,Film,9,8,30,Aug,2006,1600000,19400000,100900,1200000,121,33800000,200000,66,27274550757,403508000,54,0.591715976,413250769
United States,88.2,328239523,SSSniperWolf,14.7,270663028,SSSniperWolf,Gaming,Entertainment,35,37,20,Jan,2013,843800,10100000,52700,632900,122,33700000,200000,3366,23492684419,210955000,83,0.59347181,6979407.136
United States,88.2,328239523,Selena Gomez,14.7,270663028,Selena Gomez,Film & Animation,Music,43,38,8,Feb,2008,463200,5600000,28900,347400,124,33600000,200000,188,13013567335,115792000,288,0.595238095,69221102.85
India,28.1,1366417754,Rajshri,5.36,471031528,Rajshri,Music,Entertainment,36,34,24,Mar,2006,1100000,13100000,68100,816800,125,33500000,500000,3741,14864294792,272255000,222,1.492537313,3973347.98
Thailand,49.3,69625582,Ch3Thailand,0.75,35294600,Ch3Thailand,Entertainment,Entertainment,37,3,29,May,2014,0,0,0,0,126,33500000,100000,96214,29611914495,61307000,41,0.298507463,307771.369
India,28.1,1366417754,KHANDESHI MOVIES,5.36,471031528,KHANDESHI MOVIES,Comedy,Comedy,4,35,11,Nov,2013,98900,1200000,6200,74200,127,33500000,100000,217,11405809704,24736000,357,0.298507463,52561335.04
India,28.1,1366417754,CVS 3D Rhymes & Kids Songs,5.36,471031528,CVS 3D Rhymes & Kids Songs,Education,Education,9,35,26,Aug,2008,544300,6500000,34000,408300,129,33400000,200000,338,20269857567,136084000,120,0.598802395,59969992.8
Indonesia,36.3,270203917,Ricis Official,4.69,151509724,Ricis Official,People & Blogs,Entertainment,34,2,15,Jan,2016,628400,7500000,39300,471300,130,33300000,1900000,2736,5994136760,157101000,1043,5.705705706,2190839.459
United States,88.2,328239523,BabyBus - Kids Songs and Cartoons,14.7,270663028,BabyBus - Kids Songs and Cartoons,Education,Education,10,39,15,Jul,2016,510000,6100000,31900,382500,131,32800000,200000,2122,26355088167,127498000,64,0.609756098,12419928.45
India,28.1,1366417754,Mzaalo,5.36,471031528,Eros Now Music,Entertainment,Entertainment,838,730,14,Mar,2012,81100,972600,5100,60800,132,32700000,40000,1521,17853798780,20263000,8055,0.122324159,11738197.75
United States,88.2,328239523,DisneyMusicVEVO,14.7,270663028,DisneyMusicVEVO,Music,Music,45,40,20,May,2010,1300000,15800000,82500,989600,134,32700000,300000,2068,28516250629,329861000,50,0.917431193,13789289.47
Canada,68.9,36991981,The Weeknd,5.56,30628482,The Weeknd,Music,Music,45,3,25,Feb,2011,1500000,17900000,93500,1100000,135,32600000,200000,169,23379969006,373828000,85,0.613496933,138343011.9
Colombia,55.3,50339443,KAROL G,9.71,40827302,KAROL G,Music,Music,46,3,14,Mar,2013,1900000,22400000,116400,1400000,137,32100000,300000,134,18699145555,465647000,140,0.934579439,139545862.4
United Kingdom,60,66834405,Mr Bean,3.85,55908316,Mr Bean,Shows,Comedy,5,4,4,Jan,2006,226100,2700000,14100,169600,138,32100000,100000,3091,10602236110,56534000,400,0.31152648,3430034.329
India,28.1,1366417754,StarPlus,5.36,471031528,StarPlus,Entertainment,Entertainment,40,38,19,May,2006,6700000,80000000,416800,5000000,140,32000000,1200000,44892,26800674545,1667000000,60,3.75,597003.3535
Philippines,35.5,108116615,GMA  Network,2.15,50975903,GMA  Network,Entertainment,Entertainment,41,2,20,Nov,2006,3200000,38300000,199600,2400000,142,31900000,500000,93311,19428308461,798510000,129,1.567398119,208210.2695
India,28.1,1366417754,MR. INDIAN HACKER,5.36,471031528,MR. INDIAN HACKER,Science & Technology,Tech,1,40,21,Jun,2012,436500,5200000,27300,327400,144,31700000,500000,929,5711208484,109125000,1132,1.577287066,6147694.816
India,28.1,1366417754,Worldwide Records Bhojpuri,5.36,471031528,Worldwide Records Bhojpuri,Music,Music,48,39,15,Mar,2012,450600,5400000,28200,337900,145,31700000,200000,6518,16476978876,112648000,177,0.630914826,2527919.435
United States,88.2,328239523,DONA ÔøΩÔøΩ,14.7,270663028,DONA ÔøΩÔøΩ,Entertainment,Entertainment,42,41,5,Apr,2018,613100,7400000,38300,459800,146,31700000,200000,166,21031745531,153280000,110,0.630914826,126697262.2
United States,88.2,328239523,Dream,14.7,270663028,Dream,Gaming,Games,12,41,8,Feb,2014,108100,1300000,6800,81100,147,31700000,200000,116,2930015381,27022000,2986,0.630914826,25258753.28
United States,88.2,328239523,Lucas and Marcus,14.7,270663028,Lucas and Marcus,Entertainment,Entertainment,43,42,19,Jan,2011,1200000,15000000,78000,936300,148,31600000,400000,1321,11615848291,312099000,339,1.265822785,8793223.536
United Kingdom,60,66834405,Peppa Pig - Official Channel,3.85,55908316,Peppa Pig - Official Channel,Film & Animation,Education,11,5,9,Oct,2013,979700,11800000,61200,734800,151,31400000,300000,3589,22919271731,244925000,91,0.955414013,6385977.077
Venezuela,79.3,28515829,YOLO AVENTURAS,8.8,25162368,YOLO AVENTURAS,People & Blogs,Comedy,2270,522,16,Dec,2018,14,172,0,11,152,31200000,100,65,9673649438,3589,3361188,0.000320513,148825376
United States,88.2,328239523,The Tonight Show Starring Jimmy Fallon,14.7,270663028,The Tonight Show Starring Jimmy Fallon,Comedy,Comedy,6,44,8,Jan,2006,0,0,0,0,153,31200000,100000,8976,17111726160,22511000,166,0.320512821,1906386.604
Argentina,90,44938712,TheDonato,9.79,41339571,TheDonato,Entertainment,Games,12,3,17,Feb,2015,762700,9200000,47700,572000,154,31200000,1900000,3027,6187804950,190679000,997,6.08974359,2044203.816
United States,88.2,328239523,ImagineDragons,14.7,270663028,ImagineDragons,Music,Music,50,45,3,Aug,2009,755300,9100000,47200,566500,155,30700000,100000,92,16793072362,188837000,169,0.325732899,182533395.2
India,28.1,1366417754,Round2hell,5.36,471031528,Round2hell,Comedy,Entertainment,45,41,20,Oct,2016,127300,1500000,8000,95500,157,30700000,300000,67,3145161634,31822000,2687,0.977198697,46942710.96
India,28.1,1366417754,Zee News,5.36,471031528,Zee News,News & Politics,News,4,41,19,Jun,2007,1800000,22200000,115400,1400000,158,30500000,600000,180092,16709857823,461472000,168,1.967213115,92785.11996
Kuwait,54.4,4207083,AboFlah,2.18,4207083,AboFlah,Gaming,Entertainment,7,1,28,Jul,2016,631600,7600000,39500,473700,159,30500000,1300000,641,4521573939,157908000,1573,4.262295082,7053937.502
United Kingdom,60,66834405,Adele,3.85,55908316,Adele,Music,Music,53,6,4,Apr,2008,548400,6600000,34300,411300,164,30200000,100000,15,14199108016,137099000,248,0.331125828,946607201.1
Jordan,34.4,10101694,˝˝˝˝˝˝˝˝ ˝˝˝˝˝˝˝˝ ˝˝˝˝˝˝˝˝˝˝ | toyoraljanahtv,14.72,9213048,˝˝˝˝˝˝˝˝ ˝˝˝˝˝˝˝˝ ˝˝˝˝˝˝˝˝˝˝ | toyoraljanahtv,Entertainment,Music,52,1,24,Nov,2008,465700,5600000,29100,349300,166,30200000,100000,3254,27684955537,116434000,51,0.331125828,8507976.502
Netherlands,85,17332850,Spinnin' Records,3.2,15924729,Spinnin' Records,Music,Music,54,1,12,Jul,2007,400200,4800000,25000,300100,168,30100000,100000,11501,19607009165,100040000,127,0.332225914,1704809.074
India,28.1,1366417754,ashish chanchlani vines,5.36,471031528,ashish chanchlani vines,Comedy,Comedy,8,42,6,Jul,2009,104700,1300000,6500,78500,172,29800000,100000,151,4457913639,26171000,1622,0.33557047,29522606.88
United States,88.2,328239523,Zhong,14.7,270663028,Zhong,Entertainment,Entertainment,48,51,19,Jan,2015,0,0,0,0,176,29200000,1000000,1513,14727238483,180519000,230,3.424657534,9733799.394
Brazil,51.3,212559417,Enaldinho,12.08,183241641,Enaldinho,Comedy,Games,15,10,7,Nov,2012,1200000,14500000,75800,909300,177,29200000,1000000,3654,11627437847,303100000,338,3.424657534,3182112.164
India,28.1,1366417754,infobells - Tamil,5.36,471031528,infobells - Tamil,Education,Education,13,44,13,Mar,2014,439300,5300000,27500,329500,180,28900000,200000,555,17930570614,109828000,149,0.692041522,32307334.44
India,28.1,1366417754,Aditya Movies,5.36,471031528,Aditya Movies,Movies,Film,11,45,23,Feb,2012,909400,10900000,56800,682100,183,28400000,500000,5436,10062770060,227355000,432,1.76056338,1851135.037
India,28.1,1366417754,infobells - Telugu,5.36,471031528,infobells - Telugu,Education,Education,14,45,13,Mar,2014,1200000,13800000,72000,864300,185,28300000,800000,505,14814192034,288110000,223,2.826855124,29335033.73
Pakistan,9,216565318,HUM TV,4.45,79927762,HUM TV,Entertainment,Entertainment,49,3,25,May,2011,2700000,32900000,171200,2100000,186,28300000,700000,106983,23844936965,684860000,80,2.473498233,222885.2899
India,28.1,1366417754,Shemaroo Movies,5.36,471031528,Shemaroo Movies,Entertainment,Film,13,46,1,Mar,2011,739900,8900000,46200,554900,187,28200000,500000,3009,7600740993,184966000,721,1.773049645,2526002.324
United States,88.2,328239523,Michael Jackson,14.7,270663028,Michael Jackson,Music,Music,59,54,22,Jun,2005,634400,7600000,39600,475800,188,28200000,200000,15,14412474625,158591000,242,0.709219858,960831641.7
Colombia,55.3,50339443,toycantando,9.71,40827302,toycantando,Music,Music,62,4,7,Jul,2009,695300,8300000,43500,521500,193,27700000,200000,619,15777682516,173836000,197,0.722021661,25488986.29
United States,88.2,328239523,Wiz Khalifa,14.7,270663028,Wiz Khalifa,Music,Music,63,57,9,May,2008,361800,4300000,22600,271300,195,27500000,100000,682,13379395501,90450000,275,0.363636364,19617881.97
South Korea,94.3,51709098,JYP Entertainment,4.15,42106719,JYP Entertainment,Music,Music,64,4,25,Jan,2008,1200000,14800000,76900,922900,196,27400000,200000,1753,19883150017,307631000,124,0.729927007,11342355.97
United States,88.2,328239523,˝˝˝ Kids Roma Show,14.7,270663028,˝˝˝ Kids Roma Show,People & Blogs,Entertainment,50,58,12,May,2015,703400,8400000,44000,527500,197,27400000,400000,642,10336420490,175844000,418,1.459854015,16100343.44
United Kingdom,60,66834405,DanTDM,3.85,55908316,DanTDM,Gaming,Games,16,7,14,Jul,2012,314700,3800000,19700,236000,198,27400000,500000,3664,19417887510,78668000,132,1.824817518,5299641.788
United States,88.2,328239523,Nick Jr.,14.7,270663028,Nick Jr.,Film & Animation,Entertainment,51,59,27,Sep,2012,170200,2000000,10600,127600,199,27300000,200000,5438,22440611155,42546000,100,0.732600733,4126629.488
India,28.1,1366417754,Crazy XYZ,5.36,471031528,Crazy XYZ,Entertainment,Tech,2,48,10,Sep,2017,408900,4900000,25600,306700,200,27300000,100000,1259,7705492350,102235000,707,0.366300366,6120327.522
India,28.1,1366417754,Dushyant kukreja,5.36,471031528,Dushyant kukreja,Entertainment,Entertainment,52,49,26,Sep,2015,1700000,20600000,107400,1300000,202,27100000,700000,889,17318452893,429692000,159,2.58302583,19480824.4
United States,88.2,328239523,Brent Rivera,14.7,270663028,Brent Rivera,Comedy,Entertainment,53,60,1,Aug,2009,577800,6900000,36100,433400,204,27000000,300000,554,6570935979,144453000,909,1.111111111,11860895.27
Brazil,51.3,212559417,Renato Garcia YT,12.08,183241641,Renato Garcia YT,Entertainment,Entertainment,54,11,29,Sep,2011,331600,4000000,20700,248700,205,26900000,200000,3956,7938616641,82912000,664,0.743494424,2006728.17
United States,88.2,328239523,Beast Reacts,14.7,270663028,Beast Reacts,People & Blogs,Entertainment,54,61,24,Apr,2016,1100000,13300000,69000,828600,206,26700000,1200000,241,4388047013,276187000,1632,4.494382022,18207663.95
United States,88.2,328239523,Netflix,14.7,270663028,Netflix,Entertainment,Entertainment,55,62,17,Jul,2012,472900,5700000,29600,354700,208,26700000,200000,6471,7173668905,118226000,797,0.74906367,1108587.375
Philippines,35.5,108116615,Raffy Tulfo in Action,2.15,50975903,Raffy Tulfo in Action,News & Politics,News,5,3,20,Apr,2016,652500,7800000,40800,489400,209,26500000,300000,10022,15065753455,163130000,219,1.132075472,1503268.156
India,28.1,1366417754,Goldmines Bollywood,5.36,471031528,Goldmines Bollywood,Film & Animation,Film,15,50,22,Jul,2015,398700,4800000,24900,299000,211,26400000,400000,3622,8595760553,99677000,588,1.515151515,2373208.325
United States,88.2,328239523,Alan Chikin Chow,14.7,270663028,Alan Chikin Chow,Comedy,Comedy,12,63,3,Feb,2020,4200000,50200000,261500,3100000,212,26400000,1300000,865,27006526665,1046000000,61,4.924242424,31221418.11
Italy,61.9,60297396,PANDA BOI,9.89,42651966,PANDA BOI,Entertainment,Entertainment,55,1,5,Dec,2020,4900000,58800000,306400,3700000,213,26400000,2000000,967,17211600007,1225000000,158,7.575757576,17798965.88
Japan,63.2,126226568,Junya.ÔøΩÔøΩÔøΩÔøΩ,2.29,115782416,Junya.ÔøΩÔøΩÔøΩÔøΩ,Entertainment,Entertainment,56,2,14,Sep,2020,2900000,34600000,180500,2200000,216,26200000,1100000,5985,16097531087,721848000,184,4.198473282,2689645.963
United States,88.2,328239523,Smosh,14.7,270663028,Smosh,Comedy,Comedy,13,65,19,Nov,2005,272600,3300000,17000,204500,217,26100000,400000,1619,10435474336,68156000,410,1.53256705,6445629.608
Indonesia,36.3,270203917,Indosiar,4.69,151509724,Indosiar,Music,Entertainment,60,5,23,Sep,2013,920700,11000000,57500,690500,222,25900000,600000,65286,11372071889,230183000,358,2.316602317,174188.5226
United States,88.2,328239523,David Guetta,14.7,270663028,David Guetta,Music,Music,67,67,11,Dec,2009,656900,7900000,41100,492600,224,25700000,100000,749,17793809548,164215000,153,0.389105058,23756755.07
United States,88.2,328239523,Nicki Minaj,14.7,270663028,Nicki Minaj,Music,Music,67,67,28,Aug,2013,414500,5000000,25900,310900,226,25700000,100000,42,10242981063,103631000,425,0.389105058,243880501.5
United States,88.2,328239523,TaylorSwiftVEVO,14.7,270663028,TaylorSwiftVEVO,Music,Music,68,68,12,May,2009,1300000,15300000,79600,955800,228,25600000,100000,287,25592378292,318593000,67,0.390625,89172049.8
United States,88.2,328239523,Post Malone,14.7,270663028,Post Malone,Music,Music,69,69,15,Dec,2011,782000,9400000,48900,586500,230,25500000,100000,78,14401218086,195499000,243,0.392156863,184631001.1
