Country,Gross tertiary education enrollment (%),Population,Title,Unemployment rate,Urban_population,Youtuber,category,channel_type,channel_type_rank,country_rank,created_date,created_month,created_year,highest_monthly_earnings,highest_yearly_earnings,lowest_monthly_earnings,lowest_yearly_earnings,rank,subscribers,subscribers_for_last_30_days,uploads,video views,video_views_for_the_last_30_days,video_views_rank,engagement_rate,views_per_upload
India,28.1,1366417754,T-Series,5.36,471031528,T-Series,Music,Music,1,1,13,Mar,2006,9000000,108400000,564600,6800000,1,245000000,2000000,20082,2.28E+11,2258000000,1,0.816326531,11353450.85
United States,88.2,328239523,MrBeast,14.7,270663028,MrBeast,Entertainment,Entertainment,1,1,20,Feb,2012,5400000,64700000,337000,4000000,3,166000000,8000000,741,28368841870,1348000000,48,4.819277108,38284536.94
United States,88.2,328239523,Cocomelon - Nursery Rhymes,14.7,270663028,Cocomelon - Nursery Rhymes,Education,Education,1,2,1,Sep,2006,7900000,94800000,493800,5900000,4,162000000,1000000,966,1.64E+11,1975000000,2,0.617283951,169772256.7
India,28.1,1366417754,SET India,5.36,471031528,SET India,Shows,Entertainment,2,2,20,Sep,2006,7300000,87500000,455900,5500000,5,159000000,1000000,116536,1.48E+11,1824000000,3,0.628930818,1269993.822
Russia,81.9,144373535,Like Nastya Vlog,4.59,107683889,Like Nastya,People & Blogs,People,25,5,14,Jan,2016,195800,2300000,12200,146800,9,106000000,100000,493,90479060027,48947000,630,0.094339623,183527505.1
United States,88.2,328239523,Vlad and Niki,14.7,270663028,Vlad and Niki,Entertainment,Entertainment,6,5,23,Apr,2018,2300000,27900000,145100,1700000,10,98900000,600000,574,77180169894,580574000,8,0.606673407,134460226.3
India,28.1,1366417754,Zee Music Company,5.36,471031528,Zee Music Company,Music,Music,2,3,12,Mar,2014,3200000,38600000,200900,2400000,11,96700000,1100000,8548,57856289381,803613000,12,1.13753878,6768400.723
United States,88.2,328239523,WWE,14.7,270663028,WWE,Sports,Sports,1,6,11,May,2007,2900000,34300000,178700,2100000,12,96000000,600000,70127,77428473662,714614000,7,0.625,1104117.867
South Korea,94.3,51709098,BLACKPINK,4.15,42106719,BLACKPINK,People & Blogs,Music,3,1,29,Jun,2016,2000000,23900000,124700,1500000,14,89800000,700000,543,32144597566,498930000,32,0.779510022,59198153.9
India,28.1,1366417754,Sony SAB,5.36,471031528,Sony SAB,Shows,Entertainment,7,5,4,Aug,2007,6600000,79600000,414300,5000000,16,83000000,1100000,71270,1.01E+11,1657000000,4,1.325301205,1417146.064
South Korea,94.3,51709098,BANGTANTV,4.15,42106719,BANGTANTV,Music,Music,4,2,17,Dec,2012,673200,8100000,42100,504900,18,75600000,400000,2281,20826993957,168290000,112,0.529100529,9130641.805
Canada,68.9,36991981,Justin Bieber,5.56,30628482,Justin Bieber,Music,Music,6,1,15,Jan,2007,705300,8500000,44100,529000,20,71600000,100000,249,30608119724,176326000,38,0.139664804,122924175.6
South Korea,94.3,51709098,HYBE LABELS,4.15,42106719,HYBE LABELS,Music,Music,5,3,4,Jun,2008,2400000,28700000,149500,1800000,21,71300000,900000,1337,28634566938,598173000,46,1.26227209,21417028.38
India,28.1,1366417754,Zee TV,5.36,471031528,Zee TV,Entertainment,Entertainment,8,6,11,Dec,2005,6800000,81900000,426800,5100000,22,70500000,900000,129204,73139054467,1707000000,9,1.276595745,566074.2273
United States,88.2,328239523,Pinkfong Baby Shark - Kids' Songs & Stories,14.7,270663028,Pinkfong Baby Shark - Kids' Songs & Stories,Education,Education,2,8,14,Dec,2011,1900000,22700000,118300,1400000,23,68200000,600000,2865,38843229963,473387000,23,0.879765396,13557846.41
